,Characters,Quotes,Characters_consolidated
1,FRY,And that's how you play the game!,FRY
4,FRY,"Michelle, baby! Where you going?",FRY
6,FRY,I hate my life I hate my life I hate my life.,FRY
8,FRY,"Hello? Pizza delivery for......Icy Wiener?! Aw, crud! I always thought at this point in my life I'd be the one making the crank calls!  Here's to another lousy millennium.",FRY
20,FRY,"My God! It's the future. My parents, my co-workers, my girlfriend. I'll never see any of them again. Yahoo!",FRY
25,FRY,Cool! Just like in Star Trek!  Ow!,FRY
29,FRY,Can I ask you a question?,FRY
30,LEELA,As long as it's not about my eye.,LEELA
36,LEELA,"I'm an alien, alright? Now let's drop the subject.",LEELA
37,FRY,"Cool, an alien! Has your race taken over the Earth?",FRY
39,FRY,Wait a minute! Is that blimp accurate?,FRY
40,LEELA,Yep. It's December 31st 2999.,LEELA
41,FRY,"My God, a million years!",FRY
42,LEELA,I'm sure this must be very upsetting for you.,LEELA
43,FRY,"Y'know, I guess it should be but actually I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.",FRY
44,LEELA,"Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator.",LEELA
45,LEELA,Interesting. Your DNA test shows one living relative. He's your great great great great great great great...,LEELA
46,LEELA,...great great great great great nephew.,LEELA
47,FRY,That's great! What's the little guy's name?,FRY
48,LEELA,Professor Hubert Farnsworth.,LEELA
50,FRY,"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser.  What's that?",FRY
51,LEELA,Your permanent career assignment.,LEELA
52,FRY,Delivery boy? No! Not again! Please! Anything else!,FRY
53,LEELA,Take your hands off me! You've been assigned the job you're best at just like everyone else.,LEELA
55,LEELA,Then you'll be fired...,LEELA
57,LEELA,...out of a cannon into the Sun!,LEELA
58,FRY,But I don't like being a delivery boy.,FRY
59,LEELA,"Well that's tough! Lots of people don't like their jobs but we do them anyway. You gotta do what you gotta do! Now hold out your hand, I'm gonna implant your career chip. It'll permanently label you as a delivery boy.",LEELA
60,FRY,Keep that thing away from me!,FRY
61,LEELA,"Hold still, damnit. I don't have good depth perception!  You've got until the count of five to let me out of here. One...",LEELA
62,FRY,See you in a thousand years!  You owe me one.,FRY
65,FRY,Cool!  Um. Cross Town Express?,FRY
67,FRY,"Hey! A phone booth! I can call my nephew. Wow, a real live robot! Or is that some kind of cheesy New Year's costume?",FRY
69,FRY,It doesn't look so shiny to me.,FRY
73,FRY,"Yeah, I'd like to place a collect call.",FRY
77,FRY,Help! What's happening?,FRY
79,BENDER,Lousy stinking rip-off!  Well I didn't have anything else planned for today. Let's go get drunk!,BENDER
84,LEELA,"Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.",LEELA
86,FRY,Why would a robot need to drink?,FRY
87,BENDER,"I don't need to drink, I can quit anytime I want!  So they made you a delivery boy, huh? Man, that's as bad as my job.",BENDER
88,FRY,Really? What do you do Bender?,FRY
89,BENDER,"I'm a bender. I bend girders, that's all I'm programmed to do.",BENDER
91,BENDER,"You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! (unsure) 31. (normal) But I couldn't go on living once I found out what the girders were for.",BENDER
