,Characters,Quotes
0,MAN,(voice-over) Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
1,FRY,And that's how you play the game!
2,KID,"You stink, loser!"
3,PANUCCI,"Hey, Fry. Pizza goin' out! C'mon!!"
4,FRY,"Michelle, baby! Where you going?"
5,MICHELLE,"It's not working out, Fry.   I put your stuff out on the sidewalk!"
6,FRY,I hate my life I hate my life I hate my life.
7,BIKE THIEF,Happy new year!
8,FRY,"Hello? Pizza delivery for......Icy Wiener?! Aw, crud! I always thought at this point in my life I'd be the one making the crank calls!  Here's to another lousy millennium."
9,CROWD,Ten!
10,CROWD,Neuf!
11,CROWD,Otto!
12,CROWD,Sabaa!
13,CROWD,Eksi!
14,CROWD,Wu!
15,CROWD,Chaar!
16,CROWD,Thathu!
17,CROWD,Wu!
18,CROWD,One!
19,FRY,What the?
20,FRY,"My God! It's the future. My parents, my co-workers, my girlfriend. I'll never see any of them again. Yahoo!"
21,MAN,(dramatically) Welcome to the world of tomorrow!
22,LOU,Why do you always have to say it that way?
23,TERRY,"Haven't you ever heard of a little thing called showmanship?  (dramatically) Come, your destiny awaits!"
24,LOU,Have a nice future.
25,FRY,Cool! Just like in Star Trek!  Ow!
26,WOMAN,"Good afternoon, sir.  Name?"
27,FRY,"Uh, Fry."
28,WOMAN,I'm Leela. Now it's New Year's Eve so I'd like to decide your fate quickly and get out of here.
29,FRY,Can I ask you a question?
30,LEELA,As long as it's not about my eye.
31,FRY,Uh...
32,LEELA,Is it about my eye?
33,FRY,Sort of.
34,LEELA,Just ask the question.
35,FRY,What's with the eye?
36,LEELA,"I'm an alien, alright? Now let's drop the subject."
37,FRY,"Cool, an alien! Has your race taken over the Earth?"
38,LEELA,"No, I just work here."
39,FRY,Wait a minute! Is that blimp accurate?
40,LEELA,Yep. It's December 31st 2999.
41,FRY,"My God, a million years!"
42,LEELA,I'm sure this must be very upsetting for you.
43,FRY,"Y'know, I guess it should be but actually I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me."
44,LEELA,"Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator."
45,LEELA,Interesting. Your DNA test shows one living relative. He's your great great great great great great great...
46,LEELA,...great great great great great nephew.
47,FRY,That's great! What's the little guy's name?
48,LEELA,Professor Hubert Farnsworth.
49,FRY,Eurgh!
50,FRY,"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser.  What's that?"
51,LEELA,Your permanent career assignment.
52,FRY,Delivery boy? No! Not again! Please! Anything else!
53,LEELA,Take your hands off me! You've been assigned the job you're best at just like everyone else.
54,FRY,What if I refuse?
55,LEELA,Then you'll be fired...
56,FRY,Fine!
57,LEELA,...out of a cannon into the Sun!
58,FRY,But I don't like being a delivery boy.
59,LEELA,"Well that's tough! Lots of people don't like their jobs but we do them anyway. You gotta do what you gotta do! Now hold out your hand, I'm gonna implant your career chip. It'll permanently label you as a delivery boy."
60,FRY,Keep that thing away from me!
61,LEELA,"Hold still, damnit. I don't have good depth perception!  You've got until the count of five to let me out of here. One..."
62,FRY,See you in a thousand years!  You owe me one.
63,FRY,Whoa!
64,MAN #1,JFK Jr. Airport.
65,FRY,Cool!  Um. Cross Town Express?
66,MAN #2,Pft! Tourist!
67,FRY,"Hey! A phone booth! I can call my nephew. Wow, a real live robot! Or is that some kind of cheesy New Year's costume?"
68,ROBOT,Bite my shiny metal ass.
69,FRY,It doesn't look so shiny to me.
70,ROBOT,"Shinier than yours, meatbag!"
71,ROBOT,"Listen, buddy, I'm in a hurry here. Let's try for a twofer!"
72,BOOTH VOICE,"Please select mode of death: ""Quick And Painless"" or ""Slow And Horrible""."
73,FRY,"Yeah, I'd like to place a collect call."
74,BOOTH VOICE,"You have selected: ""Slow And Horrible""."
75,ROBOT,"Great choice!  Bring it on, baby!"
76,ROBOT,"C'mon, c'mon! Kill me already! By the way, my name's Bender!"
77,FRY,Help! What's happening?
78,BOOTH VOICE,"You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008."
79,BENDER,Lousy stinking rip-off!  Well I didn't have anything else planned for today. Let's go get drunk!
80,LEELA,"...two, three -- Hey!"
81,TERRY,(dramatically) Welcome to the world of tomorrow!
82,LEELA,"Shut up, Terry."
83,IPGEE,"This is unacceptable, Leela. You must find this Mr. Fry and install his chip."
84,LEELA,"Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him."
85,IPGEE,"Well that's your job, whether you like it or not and it's my job to make you do your job whether I like it or not - which I do - very much! Now get to work!  Life is good!"
86,FRY,Why would a robot need to drink?
87,BENDER,"I don't need to drink, I can quit anytime I want!  So they made you a delivery boy, huh? Man, that's as bad as my job."
88,FRY,Really? What do you do Bender?
