,Quotes
79,Lousy stinking rip-off!  Well I didn't have anything else planned for today. Let's go get drunk!
87,"I don't need to drink, I can quit anytime I want!  So they made you a delivery boy, huh? Man, that's as bad as my job."
89,"I'm a bender. I bend girders, that's all I'm programmed to do."
91,"You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! (unsure) 31. (normal) But I couldn't go on living once I found out what the girders were for."
93,"Suicide booths!  Well, Fry, it was a pleasure meeting you, I'm gonna go kill myself."
95,You really want a robot for a friend?
97,"Well, OK. But I don't want people thinking we're robo-sexuals, so if anyone asks, you're my debugger."
99,I'm not looking!
102,"We can hide in here, it's free on Tuesdays."
128,"Oh, we're trapped!"
130,"Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?"
132,I'll have to check my program...yep.
135,"You're full of crap, Fry!  You make a persuasive argument, Fry."
137,Can't...I...can't...do...it!
139,"You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!"
142,"(shouting) No, thanks."
143,Looks like one of us will have to bend this grate.
145,"It's the decaying ruins of Old New York. Welcome home, pal!"
147,"Keep 'em to yourself, pops."
150,Wait! There's someone you know!
154,No friends.
162,I just wanted to be part of the moment.
164,"Sorry.  Well, that solves the mystery of the missing ring. This calls for a drink."
171,You do now!
173,Can we have some money?
181,"Well, we're boned!"
196,Two.
203,New crew? W-What happened to the old crew?
254,"Yeah, like you don't have crap in your neck!"
258,A little.
267,"Hey, rich girl. Look over here! It's me, Bender. I'm being entertaining. (singing) La la la look at my head. It's all painted look at my head! I got a big old head, hey! Ho! (talking) Alright, show's over, I'm tired."
270,"Nice catch, idiot!"
292,Too much work. Lets burn it and say we dumped it in the sewer.
310,Better mascots than you have tried.
313,Idiots who need gifts for other idiots.
315,"Get it off! Get it off! Get it -- uh oh!  (singing) How many roads must a man walk down, before you... (talking) Keep those things off of me! Magnets screw up my inhibition unit!"
317,Yes. I guess a robot would have to be crazy to wanna be a folk singer.
320,"Oh, jeez, I went to high school with that guy!"
329,Yeah! You're the kind of guy who visits Jerusalem and doesn't want to see the Sexeteria!
332,(shouting) Next year in Jerusalem!
339,"Look, it's that crate we were gonna throw in the sewer."
341,Nah. She'll probably make me do it.
367,"Hey, look what I won from a tourist's pocket!"
369,"Come on, it's just like making love. Y'know: Left, down, rotate 62 degrees, engage rotor."
371,"Here, let me do it.  Ah, lousy arm. Must be rigged!  That's her, officers! Uh, that's the woman who programmed me for evil!"
372,"Yeah, well, I'm gonna go build my own theme park, with blackjack and hookers. In fact, forget the park!"
398,He'll never find me in here.
401,Of course not. A lady that fine you gotta romance first.
410,"What do you mean ""we"", mammal?"
417,"Oh, no room for Bender, huh? Fine! I'll go build my own lunar lander, with blackjack and hookers. In fact, forget the lunar lander and the blackjack. Ah, screw the whole thing."
428,Not the magnet! No! No! Nooo --  Uh-oh!
429,"(singing) She'll be comin' round the mountain when she comes,"
431,"(singing) She'll be riding six white horses when she comes,"
435,"Well I'll shoot her with my ray gun when she comes,"
438,Hey!
448,"That's right, we want some money -- wait, what's this about Fry?"
462,"Fry, we've got to discuss your living arrangements."
464,"Hey, All My Circuits! Move over.  Ahh!"
473,"Yeah, would you kindly shut your noise hole?"
475,That's a human.
477,"Eh, the usual human stuff. He laughs, he learns, he loves."
483,"Cheer up, meatbag, you've barely touched your amoeba."
