,Quotes
168,Who are you?
170,I don't have an Uncle Fry.
172,"By God, I am your nephew! This is absolutely incredible!"
174,"Oh, my, no."
175,Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship! And here's where I keep assorted lengths of wire.
177,I designed it myself. Let me show you some of the different lengths of wire I used.
183,I suppose it is technically possible. Though I am already in my pyjamas.
185,Can anyone drive stick?
195,Three.
202,"Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?"
204,Of those poor sons of -- but that's not important. The important thing is I need a new crew. Anyone interested?
207,"Oh, that won't be a problem. As luck would have it I saved the chips from my previous crew."
209,"If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research."
211,You will be responsible for ensuring that the cargo reaches its destination.
213,Exactly!
217,As new employees I'd like your opinion on our commercial. I paid to have it air during the Superbowl.
219,"Not on the same channel, of course."
227,"No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs."
230,"Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you."
232,"Oh, my! I haven't picked a new captain yet. It's always so hard to choose."
233,"Hmm, you!"
243,"Now Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little unusual. (whispering) He wears sandals!"
245,"Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical."
247,You'll be fine.
253,"Dear Lord, Bender, you're filthy."
255,"Amy, why don't you give his body a going over with the cleaning pick?"
260,"As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. (whispering) I like having her around because she's the same blood type as me."
268,"Ah, to be young again. And also a robot! Now as I recall you youngsters have a package to deliver."
411,"Oh, dear! I really ought to do something. But I am already in my pyjamas."
450,"Oh, fuff! He's not causing any trouble. Now, if you don't mind, I'm rather busy. I seem to have mislaid my alien mummy. This sarcophagus should contain the remains of Emperor Nimballa, who ruled Zubin 5 over 29 million years ago."
452,"My God, this is an outrage! I was going to eat that mummy! Fry has got to go!"
536,"Oh, how awful. Did he at least die painlessly...? To shreds, you say. Well, how is his wife holding up...? To shreds, you say. Very well then.  Sad, sad, terrible, gruesome news about my colleague, Dr. Mobootu."
553,"This is for you, Fry  Zevulon the Great. He's teriyaki style."
567,Fix it!
588,Obviously your thoughts are being transmitted on the same frequency.
613,"Right, so long."
733,"Yes, let's all talk about Leela's personal life later. But right now we have business to attend to."
735,No. A tax-deductible mission of charity.
737,This is Vergon 6.
739,"It's a sunny little doomed planet, inhabited by a number of frisky little doomed animals."
741,"That's right. Animals in desperate need of rescue. You see, Vergon 6 was once filled with a super dense substance known as dark matter, each pound of which weighs over ten thousand pounds."
743,"Well, dark matter is extremely valuable as starship fuel. That's why it was all mined out, leaving the planet completely hollow."
745,The wha?
747,"I didn't say anything about animals. Now it seems that the planet will collapse within three days. Incidentally, this will kill all the animals."
952,Baseball? God forbid!
968,"Oh, yes!"
975,"He's good, alright. But he's no Clem Johnson. And Johnson played back in the days before steroid injections were mandatory."
985,"Oh, dear Lord!"
987,It's...my...new pager.
989,"I'm sorry, wha?"
994,"Great news, everyone. You'll be delivering a package to Chapek 9, a world where humans are killed on sight."
996,"I'm glad you asked that question, Fry. You see, Chapek 9 was colonised centuries ago by a murderous crew of radical robot separatists."
999,They're not fans.
1011,"Well then it's settled. So long, everyone!"
1211,"It's very simple. The ad gets into your brain just like this liquid gets into this egg.  Although in reality it's not liquid, but gamma radiation."
1269,"I'm sorry, Fry, but the anchovy has been extinct since the 2200's."
1271,"Oh, my, yes. Fished to death. Just about the time your people arrived on Earth wasn't it, Zoidberg?"
1417,"Uh, wha? Oh, yes, they say madness runs in our family. Some even call me mad! And why? Because I dared to dream of my own race of atomic monsters. Atomic supermen with octagonal-shaped bodies that suck blood out of..."
1490,"Good news, everyone..."
1492,...you'll be making a delivery to the planet Trisol...
1494,...A mysterious world in the darkest depths of the Forbidden Zone.
1497,"Why, of course! Its just a name! Like the Death Zone or the Zone Of No Return. All the zones have names like that in the Galaxy Of Terror!"
1499,"Off you go, pleasant trip."
