,Quotes
1,And that's how you play the game!
4,"Michelle, baby! Where you going?"
6,I hate my life I hate my life I hate my life.
8,"Hello? Pizza delivery for......Icy Wiener?! Aw, crud! I always thought at this point in my life I'd be the one making the crank calls!  Here's to another lousy millennium."
19,What the?
20,"My God! It's the future. My parents, my co-workers, my girlfriend. I'll never see any of them again. Yahoo!"
25,Cool! Just like in Star Trek!  Ow!
27,"Uh, Fry."
29,Can I ask you a question?
31,Uh...
33,Sort of.
35,What's with the eye?
37,"Cool, an alien! Has your race taken over the Earth?"
39,Wait a minute! Is that blimp accurate?
41,"My God, a million years!"
43,"Y'know, I guess it should be but actually I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me."
47,That's great! What's the little guy's name?
49,Eurgh!
50,"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser.  What's that?"
52,Delivery boy? No! Not again! Please! Anything else!
54,What if I refuse?
56,Fine!
58,But I don't like being a delivery boy.
60,Keep that thing away from me!
62,See you in a thousand years!  You owe me one.
63,Whoa!
65,Cool!  Um. Cross Town Express?
67,"Hey! A phone booth! I can call my nephew. Wow, a real live robot! Or is that some kind of cheesy New Year's costume?"
69,It doesn't look so shiny to me.
73,"Yeah, I'd like to place a collect call."
77,Help! What's happening?
86,Why would a robot need to drink?
88,Really? What do you do Bender?
90,You any good at it?
92,What?
94,Wait! You're the only friend I have!
96,"Yeah, ever since I was six."
98,"Oh, no, it's the Cyclops!  Don't look! Don't look!"
104,Spock? Hey! Do the thing!
106,This is unbelievable! What do you heads do all day?
112,"Yeah, well, if you're sorry why are you doing it?"
116,Ow! Stoppit! Down boy! Bad president!
129,"Wait a second. You're a bender, right? We can get out of here if you just bend the bars."
131,Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
134,"C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals...and animal robots."
136,"Come on, Bender! You can do it."
138,Yes!
140,I don't know how you did that.
144,Good Lord! What is this?
146,"Its my old neighbourhood. Man, this brings back a lot of memories."
148,This is where I brought my girlfriend on our very first date.
149,My God! She's gone. Everyone I ever knew or cared about is gone.
151,"Oh, can't you leave me alone? I'm miserable enough already."
153,"No, you don't. I've got no home, no family..."
155,...My whole world is gone. You can't possibly understand what it feels like to be so alone.
157,"Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it.  Your chip. What are you doing?"
159,Why?
161,What is the matter with you?
166,Correction. We're unemployed but we have a doddering old relative to mooch off of.
169,I'm your dear old Uncle Fry.
176,Whoa! A real live spaceship!
179,No!
184,I'll get us out of here.
198,Blast-off!
201,"So I guess without jobs, we'll be fugitives forever."
205,Yes! Yes! That's exactly the job I've always wanted!
208,This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?
210,Cool! What's my job gonna be?
212,"So, I'm gonna be a delivery boy?"
214,Alright! I'm a delivery boy!
218,Wow!
226,Are there really giant birds like that?
228,I'm never going to get used to the 31st century.  Caffinated bacon? Baconated grapefruit? Admiral Crunch?
244,Hi -- eurgh!
249,I only have one.
251,"Uh, is there a human doctor around?"
259,"Well, the doctor says I'm as healthy as a crab. Can I go into space now?"
262,(chuffed) Last time I checked.
269,"Finally! Come on Bender, let's mosey!"
271,So where are we going anyway?
273,The moon? The moon moon? Wow! I'm gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of!
277,Can I do the countdown?
279,Ten......nine --
281,"Hurry up, I wanna see the moon!"
283,That's one small step for Fry --
285,"Wow!  Um, can I have cuts?"
287,You're not gonna believe this but they landed an amusement park on the moon!
289,"Lets go, already!"
291,Let's just dump it in the sewer and say we delivered it.
294,I had more but you go ahead.
296,But I've never been to the moon before.
300,Clear!
302,Ready!
304,My first space delivery.
305,"Uh, greetings, Moon Man, we come in peace. I am Fry from the planet Earth."
307,"But you are lazy, right?"
314,"Hey, I got you guys refrigerator magnets."
316,So you flip out and start acting like some crazy folk singer?
324,This is weak!
327,"I don't know. This place is great and all but its just so artificial. The gravity, the air, the gophers. You might as well stay on Earth.  That's what I came to see! I wanna go out there and jump around like an astronaut. Screw this phoney stuff!"
331,I don't care how educational it is. Let's do it!
333,Finally! Get ready for some serious moon action.
337,"That's not an astronaut, it's a TV comedian. And he was just using space travel as a metaphor for beating his wife."
345,I do.
350,That's not how it happened.
352,This is stupid. I'm taking this thing out to the real moon.
354,Not for long!
357,Agreed.  Yee-haw! Woo! Yeah! Crank up the radio!
359,Yee-haw!
361,No not yet. How 'bout we go look for the original moon landing site?
363,Well I'm feelin' lucky!  Uh... I'm ready to go back now.
364,"We're gonna die! It's every man for himself!  Help me, Leela!  You did it! We're safe!"
366,It's every man for himself.
373,"(gasping) I'm sorry, Leela, I can't go on any further. Just leave me to die in that barn over there."
376,"No, sir. We're amusement park patrons."
380,I guess we could do chores for a few hours.
383,Fahrenheit or Celsius?
385,Robot daughters?
392,Whoa!
394,"And it was great! We got to see craters and rocks and that one incredible rock that looked like a crater and, and these fellas."
396,I guess I can't.
400,"Oh, Bender. You didn't touch the Crushinator, did you?"
404,It's too low.
408,"Hey, cool! Dark side of the moon!"
413,Over there! Look! It's the moon landing site! We found it!
415,"It's that flag from MTV! And Neil Armstrong's footprint!  Hey! My foot's bigger! Leela, isn't this the greatest thing you've ever seen?"
419,"Look, Leela, I'm sorry. I never should have dragged you out here."
421,I never told anybody this but a thousand years ago I used to look up at the moon and dream about being an astronaut. I just didn't have the grades. Nor the physical endurance. Plus I threw up a lot and nobody liked spending a week with me.
423,"The moon was like this awesome, romantic, mysterious thing, hanging up there in the sky where you could never reach it, no matter how much you wanted to. But you're right. Once you're actually here it's just a big dull rock. I guess I just wanted you to see it through my eyes, the way I used to."
426,It's Amy! We're saved!
433,"Well, close enough!"
440,I'm sorry. I was up really late poking through people's desks.
444,And great lift!
446,"Hey, when you look this good, you don't have to know anything."
451,"Hey, Professor, great jerky!"
456,"Sheesh! 40,000 channels and only 150 have anything good on."
461,"Hmm, must be a friend of theirs."
466,I know but I forgive you.
468,Uh-huh.
470,Right.
472,Leela! We're trying to watch TV.
474,"So, who's that weird-looking guy?"
476,What's he do?
478,Boring!
481,"Hey, uh, why is the TV getting smaller?"
484,It looked good but I just don't feel like eating. You want it?
486,What are the cigars for?
488,I can't believe they threw me out like that. I must have been really acting like a jerk.
490,I don't know. Do refrigerators still come in cardboard boxes?
