,Quotes
30,As long as it's not about my eye.
32,Is it about my eye?
34,Just ask the question.
36,"I'm an alien, alright? Now let's drop the subject."
38,"No, I just work here."
40,Yep. It's December 31st 2999.
42,I'm sure this must be very upsetting for you.
44,"Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator."
45,Interesting. Your DNA test shows one living relative. He's your great great great great great great great...
46,...great great great great great nephew.
48,Professor Hubert Farnsworth.
51,Your permanent career assignment.
53,Take your hands off me! You've been assigned the job you're best at just like everyone else.
55,Then you'll be fired...
57,...out of a cannon into the Sun!
59,"Well that's tough! Lots of people don't like their jobs but we do them anyway. You gotta do what you gotta do! Now hold out your hand, I'm gonna implant your career chip. It'll permanently label you as a delivery boy."
61,"Hold still, damnit. I don't have good depth perception!  You've got until the count of five to let me out of here. One..."
80,"...two, three -- Hey!"
82,"Shut up, Terry."
84,"Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him."
100,This is officer 1B-DI requesting back-up.
110,Hmm.
111,"I'm sorry, Fry, but I have to install your career chip."
113,It's my job. You gotta do what you gotta do!
114,Watch it!
119,"Please, officers, there's no need to use force."
121,"Oh, come on, he's just a poor kid from the Stupid Ages."
123,No-one makes fun of my nose.
125,You guys were totally out of control.
133,Open up!
141,Wait!
152,"Look, I know it's not much consolation but I understand how you feel."
156,I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
158,Quitting.
160,Because I've always wanted to. I just never realised it before I met you.
163,"Hey, he stole my ring!"
165,I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
182,Can't we get away in the ship?
186,I can. As long as I don't have to parallel park.
188,Prepare for lift-off. Ten.
197,One!
206,"Thanks for the offer, Professor, but we don't have the proper career chips."
229,"Well, if you don't like that try some Archduke Chocula."
235,(reading) Death by airlock failure.
237,(reading) Death by brain parasite.
239,(reading) Death by sonic diarrhoea?
241,"Look, I don't know about any of your previous captains but I intend to do as little dying as possible."
257,Ow!
263,Hang on. Amy Wong? Of the Mars Wongs?
265,Uh-huh! What sorority do you belong to?
272,Nowhere special. The moon.
275,Well...I guess so. Just be careful. I'd like to hold off any major screwups until at least my second day as captain.
278,"Huh? Oh sure, knock yourself out."
280,OK we're here!
282,"Relax, its open till 9."
290,"Fry, we have a crate to deliver."
293,"OK, if everyone's finished being stupid --"
295,We'll deliver that crate like professionals and then we'll go home.
297,"Alright. We'll deliver that crate like professionals...and then we'll go ride the bumper cars.  Amy, why don't you help Fry hoist down the crate. Then lock up when you're done. Just be careful."
312,Who buys this trash?
326,"What's wrong, Fry?"
328,But the phoney stuff is what's fun. It's boring out there.
330,Maybe I should take Fry on the Luna Rover ride. You get to wear a space suit and drive around on the surface. And the line's short because it's educational.
336,"Wow, I never realised the first astronauts were so fat!"
349,(singing) ...and sing a whaling tune. We're whalers on the moon...
351,"Oh, really? I don't see you with a fungineering degree! p>"
353,"Fry, no. This is my first mission and I'm not gonna let us get in any trouble. Besides, the car's on a track."
356,"OK, you're on the surface. Now I'll give you 10 minutes. Then you'll get bored, turn around and apologise for being such a jerk. Agreed?"
360,Time's up. Make a U-turn at the next crater.
362,That's crazy! It's been lost for centuries!
365,No. Now we're gonna die.
374,Thank God!
378,Our car broke down and we're out of oxygen. Can we borrow some?
381,"Fry, night lasts two weeks on the moon."
393,"I told you to turn around and go back to the park. But oh, no, the park was too phoney. We had to see the real moon."
395,"Fry, face it. The moon is a dump. It's a boring dried up wasteland. And the only reason anybody ever comes here is for the tacky little amusement park. Can't you just accept that?"
399,Bender?
405,Hang on. Hang on. Jump.  Hold on to your helmet!
409,"Nightfall's coming.  Hurry, before we freeze."
412,We can't outrun it forever.
414,"Quick, get in."
416,"Fry, look around. It's just a crummy plastic flag and a dead man's tracks in the dust.  Now get in here before you freeze."
418,Well if the oxygen holds out we might live long enough to starve to death.
420,"That's right, you shouldn't have. I still don't get what the big attraction is."
422,A week would be a little much.
424,"Fry, look. It really is beautiful. I don't know why I never noticed before."
427,Amy? Where'd she learn to operate the controls like that?
432,"So, Fry, was the real moon anything like the moon you used to dream about?"
443,What the hell are you doing?! You're getting a huge dose of radiation!
445,Do you know how long it's going to take me to recalibrate these engines?
447,"Professor, We need to talk to you about Fry."
449,He's a nice guy but we think it's about time he got his own place.
463,We've all talked it over and --
465,"Fry, sometimes in close quarters, people do inconsiderate things without realising it."
467,"No, Fry, by ""close quarters"" I mean this office..."
469,"...and by ""people"" I mean you!"
471,"And by ""inconsiderate"" I mean --"
512,We sure are cheerful this morning.
514,What happened to you?
516,Look at yourself. You're a wreck! You've got to find a new place to live.
518,"Love your optimism, Fry. But seriously, you've got to tell Bender you're moving out."
525,What if I just helped the two of you find a bigger apartment?
528,At least it's got a great view.
531,Wow! Now this is fantastic!
537,Was his apartment rent-controlled?
538,"Wow, this is beautiful."
540,It's not crap.
550,"Happy housewarming, Fry!  It's a miniature fruit salad tree."
587,You had cable. This is satellite.
618,"Fry, you're Bender's best friend. How could you let that mob kick him out?"
620,Only when he's in them and you know it. You really hurt his feelings.
622,"Bender's not a guy, he's a robot."
626,"Bender?  My God, you're a mess!"
628,"Look at that five o'clock rust. You've been up all night not drinking, haven't you?"
630,"Please, Bender. Have some malt liquor. If not for yourself then for the people who love you."
632,"Oh, now look. It's obvious you miss being Fry's roommate. But there's got to be a better way to deal with this."
634,"Well, if that would work."
636,Wait! I want you to look me in the eye and promise you won't get behind the wheel without some kind of alcoholic beverage in your hand.
639,I can't just stand by and be silent about Bender anymore.
641,Well I can't just do that anymore. Your best friend is out there somewhere destroying himself.
643,"He doesn't care about the apartment, he cares about you. And you turned your back on him."
649,Bender! Stop!
653,"Fry, don't help him mutilate himself."
661,You guys could learn a lesson from those two.
665,"Wait a minute! You did it all backwards. Fry's the one who should be......Oh, never mind!"
681,This place was a great choice. The food is amazing. And such generous portions.
683,"You know, Doug, most guys are put off by my eye. It's nice to finally meet someone who's open-minded.  Ew!"
685,I don't know. Something I couldn’t quite put my finger on. Possibly his vile lizard tongue.
688,There's nothing wrong with having high standards. Now can we please stop --
691,"Thank you all for the inspiring advice, but I'm perfectly happy with my life the way it is."
707,I don't know. Maybe?
709,What?! How can you tell?
711,There's no such thing.
724,That's great - really - but he's just not what I'm looking for.
732,Could you guys please stop talking about my personal life?
740,Animals?
742,Wait! What about the animals?
744,"Yes, but what about the animals?"
746,The animals.
748,So we have to bring back two of each kind. Just like Noah's Ark.
753,Do you mind?
755,"Thank you. But I don't care how many eyes a man has - as long as it's less than five. All I'm looking for is a guy who's adventurous, self-confident..."
756,...maybe a snappy dresser.
763,"Hey, look! That's Zapp Brannigan's ship."
765,Uh-huh!
769,They say Zapp Brannigan single-handedly saved the Octillian system from a horde of rampaging Killbots.
772,He's the most decorated captain in the whole Democratic Order Of Planets.
774,No I don't. But I think we ought to meet with him and see if he'll help us rescue those animals.
