,Characters,Quotes
0,homer,"baaart, i'm gonna open my mouth and close my eyes, and you're"
1,bart, nobody better lay a finger on my butterfinger.
4,homer, what happened to the lights?
5,lisa,"it's just a power outage, dad."
7,lisa, it's just bart eating a butterfinger!
8,homer, hmmm...and it sounds like he's right over...
9,homer," aw, how 'bout a bite, little buddy?"
10,bart,"oh, okay, homer.  just one."
11,homer,"hey, this tastes just like a ...  dog biscuit!"
20,bart,nobody better lay a finger on my butterfinger!
24,bart, police...i've been _robbed_!
30,homer,somer himpson.  i mean homer...
42,bart," naaaancy fredholm from hudson, new hampshire."
43,bart,"you're one exceptional detective, man."
46,lisa,"you're such a brat, bart."
48,lisa,"yeah, you won't share your new butterfinger bb's."
53,bart,nobody'd better lay a finger on my butterfinger bb's.
56,homer,"  ooh, my little buddy's sleeping like a baby!  he"
57,bart,"  i told you, homer!  nobody'd better lay a finger on"
60,lisa,math is easy.  let's say you have fifteen butterfinger bb's ...
62,bart,nobody better lay a finger on my butterfinger.
65,bart,"  behold!  the last butterfinger in the whole house,"
67,bart,"check out the smooth, chocolatey outside and crispety-crunchety,"
68,lisa,"dad says if you make us scream, you're dead meat."
72,bart,nobody better lay a finger on my butterfinger.
75,homer,"ooh, i bet you kids would like some of these new butterfinger"
78,bart,nobody better lay a finger on my butterfinger.
82,bart,"au contraire, mon fraire.  the butterfinger group has the"
84,bart,"looks like you could die of malnutrition, dude."
85,bart,nobody better lay a finger on my butterfinger.
88,bart," come on, man!  i can't wait!  i <love> an audience!"
99,bart,"hey, what's happening, dude?"
100,bart,"terrorizing people wherever i go,"
101,bart,fixin' test scores to get the best scores.
102,bart,droppin' banana peels all over the floor.
103,bart,"i'm the kid that made delinquency an art,"
104,bart,"last name simpson, first name bart."
105,bart,"i'm here today to introduce the next phase,"
106,bart,i've got a dance real easy to do.
107,bart,"so move your body if you've got the notion,"
123,bart,"it wasn't long ago, just a couple of weeks,"
126,bart,because i put mothballs in the beef stew.
128,bart,in the air lurks gloom.
129,bart,"sitting by myself, confined to my room."
130,bart,"when all else fails, nothin' else left to do,"
133,bart,"i'm feelin' the groove now, baby!"
145,bart,"ha-ha-ha.  check it out, man."
147,bart,"if you can do the bart, you're bad like michael jackson."
149,bart,"everybody...     yeah, do the bartman!"
153,bart,"whoooooooooa, momma!        i'm bad!"
158,bart,"everybody back and forth, from side to side."
161,bart,now here's a dance beat that you can't deny.
162,homer,turn it down!  will you stop that infernal racket?!
166,bart,ididn'tdoitnobodysawmedoityoucan'tproveanything.
169,bart,"now i'm in the house, feeling good to be home,"
170,bart,"i'm up in my room, just a-singin' a song,"
178,bart,bart... man.                           hulp!
182,bart,"everybody back and forth, from side to side."
185,bart,"she can do it, he can do it, so can i."
187,bart,"dooby, dooby, dooby, dooby, dooby, wop-bop-bop!"
189,bart,"dabba doo,        dabba doo,        dab it!"
191,bart,dabba doo.      dabba doo.
205,bart,you call that dancing?              ha!
215,bart,"eat your heart out, michael!"
228,homer,ahhhhh! i thought it was tomorrow! [he slams the door in her
230,homer,"heh heh heh heh, you'll edit that underwear thing out- won't"
235,marge," oprah, i really enjoy your show-"
237,marge,"well, i wanted to, but homer said it was against nature."
