,Characters,Quotes,show
0,Fry,Space It seems to go on and on forever But then you get to the end and the gorilla starts throwing barrels at you,futurama
1,Fry,And thats how you play the game,futurama
2,Fry,Michelle baby Where you going,futurama
3,Fry,I hate my life I hate my life I hate my life,futurama
4,Fry,Hello Pizza delivery for uh   Heres to another lousy millennium,futurama
5,Fry,My God Its the future My parents my coworkers my girlfriend Ill never see any of them again Yahoo,futurama
6,Fry,Cool Just like in Star Trek  Ow,futurama
9,Fry,Can I ask you a question,futurama
12,Fry,Cool an alien Has your race taken over the Earth,futurama
13,Fry,Wait a minute Is that blimp accurate,futurama
16,Fry,Yknow I guess it should be but actually Im glad I had nothing to live for in my old life I was broke I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me,futurama
20,Fry,Thats great Whats the little guys name,futurama
22,Fry,Yknow Im the luckiest guy in the whole future Ive been given a second chance and this time Im not going to be a total loser  Whats that,futurama
24,Fry,Delivery boy No Not again Please Anything else,futurama
27,Fry,But I dont like being a delivery boy,futurama
29,Fry,Keep that thing away from me,futurama
31,Fry,See you in a thousand years  You owe me one,futurama
32,Fry,Cool  Um Cross Town Express,futurama
33,Fry,Hey A phone booth I can call my nephew  Wow A real live robot Or is that some kind of cheesy New Years costume,futurama
35,Fry,It doesnt look so shiny to me,futurama
38,Fry,Yeah Id like to place a collect call,futurama
43,Fry,Why would a robot need to drink,futurama
45,Fry,Really What do you do Bender,futurama
49,Fry,Wait Youre the only friend I have,futurama
51,Fry,Yeah ever since I was six,futurama
53,Fry,Oh no its the Cyclops  Dont look Dont look,futurama
56,Fry,Spock Hey Hey Do the thing,futurama
57,Fry,This is unbelievable What do you heads do all day,futurama
59,Fry,Yeah well if youre sorry why are you doing it,futurama
61,Fry,Ow Stop it Down boy Bad president,futurama
66,Fry,Wait a second Youre a bender right We can get out of here if you just bend the bars,futurama
68,Fry,Who cares what youre programmed for If someone programmed you to jump off a bridge would you do it,futurama
70,Fry,Cmon Bender Its up to you to make your own decisions in life Thats what separates people and robots from animals  and animal robots,futurama
72,Fry,Come on Bender You can do it,futurama
74,Fry,I dont know how you did that,futurama
77,Fry,Its my old neighbourhood Man this brings back a lot of memories,futurama
79,Fry,This is where I brought my girlfriend on our very first date,futurama
80,Fry,My God Shes gone Everyone I ever knew or cared about is gone,futurama
82,Fry,Oh cant you leave me alone Im miserable enough already,futurama
84,Fry,No you dont Ive got no home no family,futurama
85,Fry,My whole world is gone You cant possibly understand what it feels like to be so alone,futurama
87,Fry,Look Leela I dont understand this world but you obviously do so I give up If you really think I should be a delivery boy Ill do it  Your chip What are you doing,futurama
89,Fry,What is the matter with you,futurama
93,Fry,Im your dear old Uncle Fry,futurama
97,Fry,Whoa A real live spaceship,futurama
103,Fry,So I guess without jobs well be fugitives forever,futurama
107,Fry,Yes Yes Thats exactly the job Ive always wanted,futurama
110,Fry,This is awesome Are we gonna fly through space fighting monsters and teaching alien women to lurve,futurama
112,Fry,Cool Whats my job gonna be,futurama
114,Fry,So Im gonna be a delivery boy,futurama
115,Fry,Alright Im a delivery boy,futurama
118,Fry,Are there really giant birds like that,futurama
120,Fry,Im never going to get used to the 31st century  Caffinated bacon Baconated grapefruit Admiral Crunch,futurama
130,Fry,Uh is there a human doctor around,futurama
134,Fry,Well the doctor says Im as healthy as a crab Can I go into space now,futurama
140,Fry,Finally Come on Bender Lets mosey,futurama
141,Fry,So where are we going anyway,futurama
143,Fry,The moon The moon moon Wow Im gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of,futurama
147,Fry,Eightsevensixfivefourthreetwooneblastoff,futurama
148,Fry,Hurry up I wanna see the moon,futurama
149,Fry,Thats one small step for Fry,futurama
150,Fry,Wow  Um can I have cuts,futurama
151,Fry,Youre not gonna believe this but they landed an amusement park on the moon,futurama
153,Fry,Lets just dump it in the sewer and say we delivered it,futurama
156,Fry,I had more but you go ahead,futurama
158,Fry,But Ive never been to the moon before,futurama
160,Fry,My first space delivery,futurama
161,Fry,Uh greetings Moon Man We come in peace I am Fry from the planet Earth,futurama
164,Fry,Hey I got you guys refrigerator magnets,futurama
166,Fry,So you flip out and start acting like some crazy folk singer,futurama
169,Fry,I dont know This place is great and all but its just so artificial The gravity the air the gophers You might as well stay on Earth  Thats what I came to see I wanna go out there and jump around like an astronaut Screw this phoney stuff,futurama
173,Fry,I dont care how educational it is Lets do it,futurama
174,Fry,Finally Get ready for some serious moon action,futurama
176,Fry,Thats not an astronaut its a TV comedian And he was just using space travel as a metaphor for beating his wife,futurama
180,Fry,Thats not how it happened,futurama
182,Fry,This is stupid Im taking this thing out to the real moon,futurama
185,Fry,Agreed  Yeah Crank up the radio,futurama
187,Fry,No not yet How bout we go look for the original moon landing site,futurama
189,Fry,Well Im feelin lucky  Uh  Im ready to go back now,futurama
190,Fry,Were gonna die Its every man for himself  You did it Were safe,futurama
191,Fry,Its every man for himself,futurama
196,Fry,Im sorry Leela I cant go on any further Just leave me to die in that barn over there,futurama
