,Quotes,Characters
0,Space It seems to go on and on forever But then you get to the end and the gorilla starts throwing barrels at you,Fry
1,And thats how you play the game,Fry
4,Michelle baby Where you going,Fry
6,I hate my life I hate my life I hate my life,Fry
8,Hello Pizza delivery for uh   Heres to another lousy millennium,Fry
20,My God Its the future My parents my coworkers my girlfriend Ill never see any of them again Yahoo,Fry
25,Cool Just like in Star Trek  Ow,Fry
26,Good afternoon sir  Name,Leela
28,Im Leela Now its New Years Eve so Id like to decide your fate quickly and get out of here,Leela
29,Can I ask you a question,Fry
30,As long as its not about my eye,Leela
36,Im an alien alright Now lets drop the subject,Leela
37,Cool an alien Has your race taken over the Earth,Fry
39,Wait a minute Is that blimp accurate,Fry
40,Yep Its December 31st 2999,Leela
42,Im sure this must be very upsetting for you,Leela
43,Yknow I guess it should be but actually Im glad I had nothing to live for in my old life I was broke I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me,Fry
44,Well at least here youll be treated with dignity Now strip naked and get on the probulator,Leela
45,Interesting Your DNA test shows one living relative Hes your greatgreatgreatgreatgreatgreatgreat,Leela
46,greatgreatgreatgreatgreat nephew,Leela
47,Thats great Whats the little guys name,Fry
48,Professor Hubert Farnsworth,Leela
50,Yknow Im the luckiest guy in the whole future Ive been given a second chance and this time Im not going to be a total loser  Whats that,Fry
51,Your permanent career assignment,Leela
52,Delivery boy No Not again Please Anything else,Fry
53,Take your hands off me Youve been assigned the job youre best at just like everyone else,Leela
57,Out of a cannon into the Sun,Leela
58,But I dont like being a delivery boy,Fry
59,Well thats tough Lots of people dont like their jobs but we do them anyway  You gotta do what you gotta do Now hold out your hand Im gonna implant your career chip Itll permanently label you as a delivery boy,Leela
60,Keep that thing away from me,Fry
61,Hold still dammit I dont have good depth perception  Youve got until the count of five to let me out of here One,Leela
62,See you in a thousand years  You owe me one,Fry
66,Cool  Um Cross Town Express,Fry
68,Hey A phone booth I can call my nephew  Wow A real live robot Or is that some kind of cheesy New Years costume,Fry
69,Bite my shiny metal ass,Bender
70,It doesnt look so shiny to me,Fry
71,Shinier than yours meatbag,Bender
72,Listen buddy Im in a hurry here Lets try for a twofer,Bender
74,Yeah Id like to place a collect call,Fry
76,Great choice  Bring it on baby,Bender
77,Cmon cmon Kill me already By the way my names Bender,Bender
80,Lousy stinking ripoff  Well I didnt have anything else planned for today Lets go get drunk,Bender
85,Look hes just a nobody who doesnt want to be a delivery boy Id really rather not force it on him,Leela
87,Why would a robot need to drink,Fry
88,I dont need to drink I can quit anytime I want  So they made you a delivery boy huh Man thats as bad as my job,Bender
89,Really What do you do Bender,Fry
90,Im a bender I bend girders thats all Im programmed to do,Bender
92,You kidding I was a star I could bend a girder to any angle,Bender
94,Suicide booths  Well Fry it was a pleasure meeting you Im gonna go kill myself,Bender
95,Wait Youre the only friend I have,Fry
96,You really want a robot for a friend,Bender
97,Yeah ever since I was six,Fry
98,Well OK But I dont want people thinking were robosexuals So if anyone asks youre my debugger,Bender
99,Oh no its the Cyclops  Dont look Dont look,Fry
101,This is officer 1BDI requesting backup,Leela
103,We can hide in here Its free on Tuesdays,Bender
105,Spock Hey Hey Do the thing,Fry
107,This is unbelievable What do you heads do all day,Fry
110,Hmm  Im sorry Fry but I have to install your career chip,Leela
111,Yeah well if youre sorry why are you doing it,Fry
112,Its my job You gotta do what you gotta do  Watch it,Leela
114,Ow Stop it Down boy Bad president,Fry
117,Please officers theres no need to use force,Leela
119,Oh come on hes just a poor kid from the Stupid Ages,Leela
121,Noone makes fun of my nose,Leela
123,You guys were totally out of control,Leela
127,Wait a second Youre a bender right We can get out of here if you just bend the bars,Fry
128,Dream on skin tube Im only programmed to bend for constructive purposes What do I look like a debender,Bender
129,Who cares what youre programmed for If someone programmed you to jump off a bridge would you do it,Fry
130,Ill have to check my program  yep,Bender
132,Cmon Bender Its up to you to make your own decisions in life Thats what separates people and robots from animals  and animal robots,Fry
133,Youre full of crap Fry  You make a persuasive argument Fry,Bender
134,Come on Bender You can do it,Fry
137,You were right Fry From now on Im going to bend what I want when I want who I want Im unstoppable,Bender
138,I dont know how you did that,Fry
141,Looks like one of us will have to bend this grate,Bender
143,Its the decaying ruins of Old New York Welcome home pal,Bender
144,Its my old neighbourhood Man this brings back a lot of memories,Fry
145,Keep em to yourself Pops,Bender
146,This is where I brought my girlfriend on our very first date,Fry
147,My God Shes gone Everyone I ever knew or cared about is gone,Fry
148,Wait Theres someone you know,Bender
149,Oh cant you leave me alone Im miserable enough already,Fry
150,Look I know its not much consolation but I understand how you feel,Leela
151,No you dont Ive got no home no family,Fry
153,My whole world is gone You cant possibly understand what it feels like to be so alone,Fry
154,I understand Im the only oneeyed alien on this whole planet My parents abandoned me here as a baby and I dont even know what galaxy they were from I know how it feels to be alone,Leela
155,Look Leela I dont understand this world but you obviously do so I give up If you really think I should be a delivery boy Ill do it  Your chip What are you doing,Fry
158,Because Ive always wanted to I just never realised it before I met you,Leela
159,What is the matter with you,Fry
160,I just wanted to be part of the moment,Bender
162,Sorry  Well that solves the mystery of the missing ring This calls for a drink,Bender
163,I dont wanna spoil the party but were all job deserters now Were unemployed and we have nowhere to go,Leela
167,Im your dear old Uncle Fry,Fry
168,I dont have an Uncle Fry,Farnsworth
170,By God I am your nephew This is absolutely incredible,Farnsworth
173,Let me show you around Thats my lab table and this is my workstool And over there is my intergalactic spaceship  And heres where I keep assorted lengths of wire,Farnsworth
174,Whoa A real live spaceship,Fry
175,I designed it myself Let me show you some of the different lengths of wire I used,Farnsworth
180,Cant we get away in the ship,Leela
181,I suppose it is technically possible Though I am already in my pyjamas,Farnsworth
184,I can As long as I dont have to parallel park,Leela
186,Prepare for liftoff Ten,Leela
199,So I guess without jobs well be fugitives forever,Fry
200,Not necessarily Are you three by any chance interested in becoming my new spaceship crew,Farnsworth
201,New crew WWhat happened to the old crew,Bender
202,Of those poor sons of But thats not important The important thing is I need a new crew Anyone interested,Farnsworth
203,Yes Yes Thats exactly the job Ive always wanted,Fry
204,Thanks for the offer Professor but we dont have the proper career chips,Leela
205,Oh that wont be a problem As luck would have it I saved the chips from my previous crew,Farnsworth
206,This is awesome Are we gonna fly through space fighting monsters and teaching alien women to lurve,Fry
207,If by that you mean transporting cargo then yes Its a little home business I started to fund my research,Farnsworth
208,Cool Whats my job gonna be,Fry
209,You will be responsible for ensuring that the cargo reaches its destination,Farnsworth
210,So Im gonna be a delivery boy,Fry
212,Alright Im a delivery boy,Fry
213,As new employees Id like your opinion on our commercial I paid to have it air during the Super Bowl,Farnsworth
215,Not on the same channel of course,Farnsworth
225,Are there really giant birds like that,Fry
226,No no That was all just special effects Now lets have breakfast I hope everyone likes eggs,Farnsworth
227,Im never going to get used to the 31st century  Caffinated bacon Baconated grapefruit Admiral Crunch,Fry
228,Well if you dont like that try some Archduke Chocula,Leela
229,Ah Hermes Crew meet Hermes Conrad He manages my delivery business pays the bills notifies next of kin what have you,Farnsworth
231,Oh my I havent picked a new captain yet Its always so hard to choose,Farnsworth
235,Death by airlock failure,Leela
237,Death by brain parasite,Leela
239,Death by sonic diarrhoea,Leela
241,Look I dont know about any of your previous captains but I intend to do as little dying as possible,Leela
243,Now Fry before you go into space youll need to see our staff doctor I should warn you though hes a little  unusual  He wears sandals,Farnsworth
245,Dr Zoidberg this is Fry the new delivery boy He needs a physical,Farnsworth
251,Uh is there a human doctor around,Fry
253,Dear Lord Bender youre filthy,Farnsworth
254,Yeah like you dont have crap in your neck,Bender
255,Amy why dont you give his body a going over with the cleaning pick,Farnsworth
259,Well the doctor says Im as healthy as a crab Can I go into space now,Fry
260,As soon as we finish cleaning Bender Oh and Fry this is our intern Amy Wong Shes an engineering student of mine  I like having her around because shes the same blood type as me,Farnsworth
263,Hang on Amy Wong Of the Mars Wongs,Leela
265,Uhhuh What sorority do you belong to,Leela
267,Hey rich girl Look over here Its me Bender Im being entertaining  Alright shows over Im tired,Bender
268,Ah to be young again And also a robot Now as I recall you youngsters have a package to deliver,Farnsworth
269,Finally Come on Bender Lets mosey,Fry
271,So where are we going anyway,Fry
272,Nowhere special The moon,Leela
273,The moon The moon moon Wow Im gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of,Fry
275,Well  I guess so Just be careful Id like to hold off any major screwups until at least my second day as captain,Leela
276,Nothing will go wrong  If something goes wrong bring back the blood,Farnsworth
278,Huh Oh sure Knock yourself out,Leela
281,Eightsevensixfivefourthreetwooneblastoff,Fry
282,Hurry up I wanna see the moon,Fry
284,Thats one small step for Fry,Fry
286,Wow  Um can I have cuts,Fry
288,Youre not gonna believe this but they landed an amusement park on the moon,Fry
291,Fry we have a crate to deliver,Leela
292,Lets just dump it in the sewer and say we delivered it,Fry
293,Too much work Lets burn it and say we dumped it in the sewer,Bender
294,OK if everyones finished being stupid,Leela
295,I had more but you go ahead,Fry
296,Well deliver that crate like professionals and then well go home,Leela
297,But Ive never been to the moon before,Fry
298,Alright Well deliver that crate like professionals  and then well go ride the bumper cars  Amy why dont you help Fry hoist down the crate Then lock up when youre done Just be careful,Leela
305,My first space delivery,Fry
306,Uh greetings Moon Man We come in peace I am Fry from the planet Earth,Fry
311,Better mascots than you have tried,Bender
314,Idiots who need gifts for other idiots,Bender
315,Hey I got you guys refrigerator magnets,Fry
316,Get it off Get it off Get it Uhoh  Keep those things off of me Magnets screw up my inhibition unit,Bender
317,So you flip out and start acting like some crazy folk singer,Fry
318,Yes I guess a robot would have to be crazy to wanna be a folk singer,Bender
321,Oh jeez I went to high school with that guy,Bender
