,Characters,Quotes,Scenes
0,Fry,Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.,2
1,Fry,And that's how you play the game!,2
2,Boy,"You stink, loser!",2
3,Panucci,"Hey, Fry. Pizza goin' out! C'mon!!",2
4,Fry,"Michelle, baby! Where you going?",3
5,Michelle,"It's not working out, Fry.  I put your stuff out on the sidewalk!",3
6,Fry,"I hate my life, I hate my life, I hate my life.",3
7,Bike Thief,Happy new year!,3
8,Fry,"Hello? Pizza delivery for, uh ...  Here's to another lousy millennium.",4
9,Crowd,Ten!,4
10,Crowd,Neuf!,4
11,Crowd,Otto!,4
12,Crowd,Saba!,4
13,Crowd,Eksi!,4
14,Crowd,Wu!,4
15,Crowd,Char!,4
16,Crowd,Thathu!,4
17,Crowd,Nee!,4
18,Crowd,One!,5
19,Fry,What the--?,5
20,Fry,"My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!",5
21,Terry,Welcome to the world of tomorrow!,6
22,Lou,Why do you always have to say it that way?,6
23,Terry,"Haven't you ever heard of a little thing called showmanship?  Come, your destiny awaits!",6
24,Lou,Have a nice future.,7
25,Fry,Cool! Just like in Star Trek!  Ow!,7
26,Leela,"Good afternoon, sir.  Name?",7
27,Fry,"Uh, Fry.",7
28,Leela,"I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here.",7
29,Fry,Can I ask you a question?,7
30,Leela,As long as it's not about my eye.,7
31,Fry,Uh...,7
32,Leela,Is it about my eye?,7
33,Fry,Sort of.,7
34,Leela,Just ask the question.,7
35,Fry,What's with the eye?,7
36,Leela,"I'm an alien, alright? Now let's drop the subject.",7
37,Fry,"Cool, an alien! Has your race taken over the Earth?",7
38,Leela,"No, I just work here.",7
39,Fry,Wait a minute! Is that blimp accurate?,7
40,Leela,"Yep. It's December 31st, 2999.",7
41,Fry,My God! A million years!,7
42,Leela,I'm sure this must be very upsetting for you.,7
43,Fry,"Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.",7
44,Leela,"Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator.",7
45,Leela,Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...,8
46,Leela,...great-great-great-great-great nephew.,8
47,Fry,That's great! What's the little guy's name?,8
48,Leela,Professor Hubert Farnsworth.,8
49,Fry,Eurgh!,8
