,Characters,Quotes
0,Fry,Space It seems to go on and on forever But then you get to the end and the gorilla starts throwing barrels at you
1,Fry,And thats how you play the game
2,Boy,You stink loser
3,Panucci,Hey Fry Pizza goin out Cmon
4,Fry,Michelle baby Where you going
5,Michelle,Its not working out Fry  I put your stuff out on the sidewalk
6,Fry,I hate my life I hate my life I hate my life
7,Bike Thief,Happy new year
8,Fry,Hello Pizza delivery for uh   Heres to another lousy millennium
9,Crowd,Ten
10,Crowd,Neuf
11,Crowd,Otto
12,Crowd,Saba
13,Crowd,Eksi
14,Crowd,Wu
15,Crowd,Char
16,Crowd,Thathu
17,Crowd,Nee
18,Crowd,One
19,Fry,What the
20,Fry,My God Its the future My parents my coworkers my girlfriend Ill never see any of them again Yahoo
21,Terry,Welcome to the world of tomorrow
22,Lou,Why do you always have to say it that way
23,Terry,Havent you ever heard of a little thing called showmanship  Come your destiny awaits
24,Lou,Have a nice future
25,Fry,Cool Just like in Star Trek  Ow
26,Leela,Good afternoon sir  Name
27,Fry,Uh Fry
28,Leela,Im Leela Now its New Years Eve so Id like to decide your fate quickly and get out of here
29,Fry,Can I ask you a question
30,Leela,As long as its not about my eye
31,Fry,Uh
32,Leela,Is it about my eye
33,Fry,Sort of
34,Leela,Just ask the question
35,Fry,Whats with the eye
36,Leela,Im an alien alright Now lets drop the subject
37,Fry,Cool an alien Has your race taken over the Earth
38,Leela,No I just work here
39,Fry,Wait a minute Is that blimp accurate
40,Leela,Yep Its December 31st 2999
41,Fry,My God A million years
42,Leela,Im sure this must be very upsetting for you
43,Fry,Yknow I guess it should be but actually Im glad I had nothing to live for in my old life I was broke I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me
44,Leela,Well at least here youll be treated with dignity Now strip naked and get on the probulator
45,Leela,Interesting Your DNA test shows one living relative Hes your greatgreatgreatgreatgreatgreatgreat
46,Leela,greatgreatgreatgreatgreat nephew
47,Fry,Thats great Whats the little guys name
48,Leela,Professor Hubert Farnsworth
49,Fry,Eurgh
50,Fry,Yknow Im the luckiest guy in the whole future Ive been given a second chance and this time Im not going to be a total loser  Whats that
51,Leela,Your permanent career assignment
52,Fry,Delivery boy No Not again Please Anything else
53,Leela,Take your hands off me Youve been assigned the job youre best at just like everyone else
54,Fry,What if I refuse
55,Leela,Then youll be fired
56,Fry,Fine
57,Leela,Out of a cannon into the Sun
58,Fry,But I dont like being a delivery boy
59,Leela,Well thats tough Lots of people dont like their jobs but we do them anyway  You gotta do what you gotta do Now hold out your hand Im gonna implant your career chip Itll permanently label you as a delivery boy
60,Fry,Keep that thing away from me
61,Leela,Hold still dammit I dont have good depth perception  Youve got until the count of five to let me out of here One
62,Fry,See you in a thousand years  You owe me one
63,Fry,Whoa
64,Man #1,JFK Jr Airport
65,Man #1,Radio City Mutant Hall
66,Fry,Cool  Um Cross Town Express
67,Man #2,Pft Tourist
68,Fry,Hey A phone booth I can call my nephew  Wow A real live robot Or is that some kind of cheesy New Years costume
69,Bender,Bite my shiny metal ass
70,Fry,It doesnt look so shiny to me
71,Bender,Shinier than yours meatbag
72,Bender,Listen buddy Im in a hurry here Lets try for a twofer
73,Booth Voice,Please select mode of death
74,Fry,Yeah Id like to place a collect call
75,Booth Voice,You have selected
76,Bender,Great choice  Bring it on baby
77,Bender,Cmon cmon Kill me already By the way my names Bender
78,Fry,Help Whats happening
79,Booth Voice,You are now dead Thank you for using StopNDrop Americas favourite suicide booth since 2008
80,Bender,Lousy stinking ripoff  Well I didnt have anything else planned for today Lets go get drunk
81,Leela,Two three Hey
82,Terry,Welcome to the world of tomorrow
83,Leela,Shut up Terry
84,Ipgee,This is unacceptable Leela You must find this Mr Fry and install his chip
85,Leela,Look hes just a nobody who doesnt want to be a delivery boy Id really rather not force it on him
86,Ipgee,Well thats your job whether you like it or not And its my job to make you do your job whether I like it or not which I do very much Now get to work  Life is good
87,Fry,Why would a robot need to drink
88,Bender,I dont need to drink I can quit anytime I want  So they made you a delivery boy huh Man thats as bad as my job
89,Fry,Really What do you do Bender
90,Bender,Im a bender I bend girders thats all Im programmed to do
91,Fry,You any good at it
92,Bender,You kidding I was a star I could bend a girder to any angle
93,Fry,What
94,Bender,Suicide booths  Well Fry it was a pleasure meeting you Im gonna go kill myself
95,Fry,Wait Youre the only friend I have
96,Bender,You really want a robot for a friend
97,Fry,Yeah ever since I was six
