,Characters,Quotes
0,Fry,Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
1,Fry,And that's how you play the game!
2,Boy,"You stink, loser!"
3,Panucci,"Hey, Fry. Pizza goin' out! C'mon!!"
4,Fry,"Michelle, baby! Where you going?"
5,Michelle,"It's not working out, Fry.  I put your stuff out on the sidewalk!"
6,Fry,"I hate my life, I hate my life, I hate my life."
7,Bike Thief,Happy new year!
8,Fry,"Hello? Pizza delivery for, uh ...  Here's to another lousy millennium."
9,Crowd,Ten!
10,Crowd,Neuf!
11,Crowd,Otto!
12,Crowd,Saba!
13,Crowd,Eksi!
14,Crowd,Wu!
15,Crowd,Char!
16,Crowd,Thathu!
17,Crowd,Nee!
18,Crowd,One!
19,Fry,What the--?
20,Fry,"My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!"
21,Terry,Welcome to the world of tomorrow!
22,Lou,Why do you always have to say it that way?
23,Terry,"Haven't you ever heard of a little thing called showmanship?  Come, your destiny awaits!"
24,Lou,Have a nice future.
25,Fry,Cool! Just like in Star Trek!  Ow!
26,Leela,"Good afternoon, sir.  Name?"
27,Fry,"Uh, Fry."
28,Leela,"I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here."
29,Fry,Can I ask you a question?
30,Leela,As long as it's not about my eye.
31,Fry,Uh...
32,Leela,Is it about my eye?
33,Fry,Sort of.
34,Leela,Just ask the question.
35,Fry,What's with the eye?
36,Leela,"I'm an alien, alright? Now let's drop the subject."
37,Fry,"Cool, an alien! Has your race taken over the Earth?"
38,Leela,"No, I just work here."
39,Fry,Wait a minute! Is that blimp accurate?
40,Leela,"Yep. It's December 31st, 2999."
41,Fry,My God! A million years!
42,Leela,I'm sure this must be very upsetting for you.
43,Fry,"Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me."
44,Leela,"Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator."
45,Leela,Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...
46,Leela,...great-great-great-great-great nephew.
47,Fry,That's great! What's the little guy's name?
48,Leela,Professor Hubert Farnsworth.
49,Fry,Eurgh!
50,Fry,"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser.  What's that?"
51,Leela,Your permanent career assignment.
52,Fry,Delivery boy? No! Not again! Please! Anything else!
53,Leela,Take your hands off me! You've been assigned the job you're best at just like everyone else.
54,Fry,What if I refuse?
55,Leela,Then you'll be fired--
56,Fry,Fine!
57,Leela,Out of a cannon into the Sun!
58,Fry,But I don't like being a delivery boy.
59,Leela,Well that's tough! Lots of people don't like their jobs but we do them anyway.  You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.
60,Fry,Keep that thing away from me!
61,Leela,"Hold still, dammit. I don't have good depth perception!  You've got until the count of five to let me out of here. One--"
62,Fry,See you in a thousand years!  You owe me one.
63,Fry,Whoa!
64,Man #1,JFK Jr. Airport.
65,Man #1,Radio City Mutant Hall.
66,Fry,Cool!  Um. Cross Town Express?
67,Man #2,Pft! Tourist!
68,Fry,Hey! A phone booth! I can call my nephew.  Wow! A real live robot! Or is that some kind of cheesy New Year's costume?
69,Bender,Bite my shiny metal ass.
70,Fry,It doesn't look so shiny to me.
71,Bender,"Shinier than yours, meatbag!"
72,Bender,"Listen, buddy, I'm in a hurry here. Let's try for a two-fer!"
73,Booth Voice,Please select mode of death
74,Fry,"Yeah, I'd like to place a collect call."
75,Booth Voice,You have selected
76,Bender,"Great choice!  Bring it on, baby!"
77,Bender,"C'mon, c'mon! Kill me already! By the way, my name's Bender!"
78,Fry,Help! What's happening?
79,Booth Voice,"You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008."
80,Bender,"Lousy, stinking rip-off!  Well, I didn't have anything else planned for today. Let's go get drunk!"
81,Leela,"Two, three-- Hey!"
82,Terry,Welcome to the world of tomorrow!
83,Leela,"Shut up, Terry."
84,Ipgee,"This is unacceptable, Leela. You must find this Mr. Fry and install his chip."
85,Leela,"Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him."
