,Characters,Quotes
0,Hermes,Planet Express delivery company roll call! Captain Turanga Leela!
1,Leela,Here!
2,Hermes,"Delivery boy, first class, Philip J. Fry!"
3,Fry,Here!
4,Hermes,"Assistant Manager of Sales, Bender Bending Rodriguez!"
5,Bender,"Here!  Cerveza, por favor."
6,Hermes,"Long-term intern, Amy Wong."
7,Amy,Here!
8,Hermes,"Company physician, Dr. John A. Zoidberg."
9,Zoidberg,Huh? I thought it was mine!
10,Hermes,"Bureaucrat Grade 34, Hermes Conrad."
11,Hermes,"Is who I am. And now I am proud to present the owner and founder of Planet Express, Professor Hubert J. Farnsworth!"
12,Farnsworth,You're all fired.
13,Hermes,Sweet bongo of the Congo!
14,Farnsworth,"In fact, you were fired two years ago! That's when we were shut down by the delivery network."
15,Farnsworth,"Yes, I'm afraid the brainless drones who run the network canceled our license."
16,Fry,We were canceled?
17,Farnsworth,"Oh, it's terrible. Just terrible. Well, clear out your desks and move along. Chop-chop."
18,Farnsworth,Yes? I see.
19,Farnsworth,"Good news, everyone! Those asinine morons who canceled us were themselves fired for incompetence."
20,Staff,Woohoo!
21,Zoidberg,Yahoo!
22,Farnsworth,"And not just fired, but beaten up, too. And pretty badly."
23,Staff,Woo!
24,Farnsworth,"In fact, most of them died from their injuries."
25,Staff,Woo?
26,Farnsworth,And then they were ground up into a fine pink powder.
27,Fry,Why?
28,Farnsworth,"Oh, it's got a million and one uses."
29,Farnsworth,"Ahhh, that soothes the fire."
30,Leela,So what does this mean for us and our many fans?
31,Farnsworth,It means we're back on the air!
32,Farnsworth,"Yes, flying on the air in our mighty spaceship!"
33,Staff,Woooohoooo!
34,Zoidberg,Yayyy!
35,Bender,"We're back, baby!"
36,All,"Party! Go, go, go!"
37,Cubert,"Lower, lawn mower!"
38,Hermes,"What's the matter, robot? You got a rod up your spine?"
39,Bender,"Yes, I do. That's how I'm built."
40,All,Hooray.
41,Fry,Way to bend it!
42,Bender,"You're the greatest, Bender!"
43,Hermes,"In Jamaica, we got 10-story office buildings lower than that."
44,Leela,"Let's see you beat it, Rastaman."
45,Staff,Ooooohh...
46,Hermes,Let's make it interesting. Fetch down one of them sabers.
47,Bender,"Oh, flexible. That would go good up my spine."
48,Hermes,Lower.
49,Bender,The fat guy wins!
50,Fry,"Go, Hermes!"
51,Hermes,That's why they call me 11-inch Conrad.
52,Scruffy,"Oh, no."
53,Featuring,Phillip J. Fry
54,Fry,"Can you save Hermes, Dr. Goodensexy?"
55,Dr. Cahill,"I told you, my name is Dr. Cahill."
56,Hermes,Figures I'd get mangled while the blonde bimbo's on duty.
57,Dr. Cahill,"I'm a doctor, sir. The mere fact that I'm blonde and have a breathy voice, full sensual lips, and a steaming hot body doesn't make me a bimbo."
58,Zoidberg,Tell me about it.
59,Hermes,"I think we've all learned a thing or two about sexual stereotypes. While my head's slowly dying 'cause I'm not in a jar yet, you bimbo!"
60,Dr. Cahill,"Oh, right. Ditzy-witzy! Lars, got another jar job!"
61,Lars,"Oh, sorry, Doctor. I was disinfecting Courtney Love... Oh, hello."
62,Leela,What are you looking at? Is it the eye?
63,Lars,"Guilty as charged. It's a nice looking eye, and there's plenty of it."
64,Leela,Oh. Do I know you?
65,Lars,Apparently not. Hi. I'm Lars.
66,Leela,Oh. I'm Leela. Nice to meet you.
67,Lars,Nice to be met.
68,Hermes,"Pick up ladies on your own time, you shiny-headed goat!"
69,Lars,"Sir, you're just a little enraged 'cause you're dying. Up and away!"
70,Amy,Lars is so flirting with you.
71,Leela,He is so not. He's just being polite.
72,Fry,"Who does he think he is, being polite to you? You want me to beat him up?"
73,Leela,No. Stop being so immature.
74,Fry,I'll show her who's immature.
75,Fry,"""Charles de Gaulle""? Never heard of you."
76,Charles de Gualle's Head,I freed France from the Nazis and...
77,Fry,"Hey, Leela. I'm some French guy."
78,Bender,"Rock that Frenchman, baby!"
79,LaBarbara,"Oh, my poor little love pirate of the Caribbean!"
80,Hermes,"There, there, wife. Everything will be all--"
81,LaBarbara,"Okay, look, Hermes, we got to think of the boy. He needs a daddy."
82,Hermes,He has a daddy!
83,LaBarbara,"No, he got two half-daddies. Will his body be all right?"
84,Dr. Cahill,"Yes, but it may take a few days."
85,LaBarbara,"No, not soon enough. Come, Dwight, let's find you a handsome new father."
86,Hermes,"LaBarbara, no!"
87,Bender,"It's okay, Hermes. We're all here for you."
88,Farnsworth,"Good news, everyone! We've got a delivery to the nude beach planet."
89,Staff,Woohoo!
90,Bender,"So long, jerk."
91,Leela,It feels great to be back at the wheel after two long years.
92,Fry,That's not the wheel.
93,Leela,It's nice out.
94,Fry,"""You must be at least this naked""? How much nakeder could you be?"
95,Zoidberg,Watch and learn.
96,Bender,"You know, it's funny."
97,Fry,What?
98,Bender,Your wiener!
99,Farnsworth,"Well, I'm going in the water to prune up a bit before I strut. Who's with me?"
100,Amy,I'm in!
101,Leela,I'm in.
102,Bender,"Yeah, I'll go."
103,Fry,You guys go ahead. I gotta find the bartender and deliver this box of barstool softener.
104,Bartender,Why are you talking to my penis?
105,Fry,"Oh, sorry. Sign here."
106,Bartender,Mind if I use your pen?
107,Fry,"Well, that's not a..."
108,Fry,And initial here.
109,Fry,Thank you for using Planet Express.
110,Leela,"Hey, Fry, I didn't know you had a tattoo of Bender on your ass."
111,Fry,Me neither.
112,Bender,You got a tattoo of me? Neat. It's like looking in a smelly mirror.
113,Farnsworth,So he's got a little ink. Big whoop.
114,Bender,"Sweet photons. I don't know if you're waves or particles, but you go down smooth."
115,Nudar,"Sir, would you care to sign our petition?"
116,Bender,"I support and oppose many things, but not strongly enough to pick up a pen."
117,Nudar,That's just what the guys who oppose the things you support want you to do.
118,Bender,Really? Down with those guys!
119,Fleb,And we'll need your e-mail address.
120,Bender,"Hmm, they say you shouldn't give out your e-mail address."
121,Nudar,Right. That's just what those same guys say.
122,Bender,Them again?
123,Leela,I don't quite understand what this petition's about.
124,Schlump,"Um,... animals?"
125,Leela,Aw.
126,Schlump,And your e-mail address.
127,Leela,"You won't send me any spam, will you?"
128,Nudar,"Oh, no, no, no, no. Asterisk."
129,Leela's Wrist Thingy,You've got spam.
130,Leela,"Spam, spam, junk. The very last pygmy rhino is going extinct? Unless it gets my credit card number?"
131,Amy,"Spam. Spam. ""Hi. How are you?"" Oh, that must be from Kiffy."
132,Amy's computer,"Hi, how are you? Low, low prices on erectile dysfunction remedies, sleeping pills, old-person drugs, and antidepressants."
133,Amy,"Antidepressants? Well, I certainly don't want to get depressed."
134,Amy's computer,Please enter credit card number.
135,Amy,Is cash okay?
136,Bender,"Porn. Porn. Free porn. Get rich watching porn? I find that rather hard to believe.  Hmmm, scientists at West Johnson Pornoversity need test subjects to rate top quality roborotica. Ooh, top-quality."
137,Bender,"Warning, perform virus scan? Pffft, I'm waiting for porn over here."
138,Bender,"Oh, yeah, come on, baby."
139,Bender,Roborotic....
140,Zoidberg,"Friends, friends! His Majesty Prince Adisaraki O. Zoidberg of Nigeria died."
141,Amy,That's so sad. When will those antidepressants get here?
142,Zoidberg,"Wait, there's more. According to this e-mail, I, Zoidberg, am his next of kin. Once I wire some good-faith money to an overseas bank account, I'll inherit his kingdom, his canoe, and his plump young wife."
143,Hermes,You dumb stumps. Don't you realize you're being scammed?
144,Zoidberg,"That is low, Hermes. Just because you don't have a body, you don't want anyone else to be prince of Nigeria. Well, try and stop me from wiring that money."
145,Farnsworth,"What's going on here? According to my illegal key logging software, you've all been giving out personal information over the Internet. If Hermes were here, he'd fire you all."
146,Hermes,I am here!
147,Farnsworth,"Quiet, you. In his absence, I'm calling a mandatory company security seminar. To the mandatorium!"
148,Farnsworth,"Now, it's not hard to spot a phony Internet come-on. ""Get rich quick x7 q""? Phony. ""Lose weight with space parasites""? Phony. What's this? I've won the Spanish National Lottery?"
149,Leela,"No, it's a scam!"
150,Farnsworth,"Yes, yes, a scam. My goodness, I'm rich! And to think I didn't even know I had a ticket. I just need to wire some collateral to collect the winnings."
151,Hermes,"Professor, stop! You're giving away personal information!"
152,Farnsworth,I can afford to give away anything I want. I've won the Spanish National Lottery.
153,Amy,"No, don't!"
154,Leela,It's a scam!
155,Hermes,Why won't anybody listen to me?!?
156,Farnsworth,And my mother's maiden name and her bank account numbers and ... There! I'm rich. Rich. Rich!
157,Farnsworth,"That must be my $400 now. Hello. Or should I say, '""Buenos dias""?"
158,Nudar,Hi. We own your company now.
159,Farnsworth,Hwhaa?
160,Bender,"I'll deal with these guys. Welcome, boss."
161,Amy,"Hey, what the hell?"
162,Nudar,Guess I was wrong. There was a robot stupid enough to download the obedience virus.
163,Bender,"I sure was. Make a hole, chumps.  Presenting our new masters!"
164,Bender,"Where shall I put these auto-dialers, kind master?"
165,Nudar,Between the password crank and the spamjaculator. Come on! We've got a whole planet to scam. And bring me some more Gummi Fungus!
166,Leela,We don't have to stand here and take abuse from a gross nerd.
167,Amy,Yeah!
168,Fry,Yeah!
169,Zoidberg,Yeah!
170,Leela,Hi-yah!
171,Nudar,"Now get back to work, you turkeys! Planet Express is still in business. We've got crap loads of quote-unquote merchandise to deliver."
172,Fleb,"Ship them out, Your Highness."
173,Zoidberg,"Finally, some respect."
174,Amy,I feel a little better.
175,Bender,"Those marvelous scammers sure scammed us, huh?"
176,Leela,How can you just sit there kissing the aliens' butt flaps? Don't you realize you are totally under their control?
177,Bender,"Of course I realize it. Does that mean I can't enjoy it? Hee hee hee hee. Boy, were we suckers."
178,Lars,"Greetings, earthlings."
179,Fry,"Oh, hooray. It's handsome Lars and his fabulous jars."
180,Lars,"Hello, everyone who isn't Leela. And a special hello to everyone else."
181,Hermes,Shut your lockers and get to class. How's my body doing?
182,Lars,"Oh, I'm afraid it's behind schedule. The museum got tricked into giving all its funding to something called the Scamming Sciences Institute."
183,Bender,It's a fake place.
184,Hermes,"Cut to the chase, baldy. When do I get my me back?"
185,Lars,"Well, it could be months, or even years."
186,Hermes,No! That body's the cornerstone of my marriage. What's LaBarbara going to do?
187,Amy,Spluh! She's going to go back to her first husband.
188,Zoidberg,Barbados Slim? I love that guy.
189,Hermes,Everybody loves Slim.
190,Hermes,He's the only man to ever win Olympic gold medals in both limbo and sex.
191,Lars,"Well, maybe I should get going."
192,Fry,"Yes, I'll show you out."
193,Amy,"No, Leela will show him out."
194,Leela,"No, Leela will show you out. Me. Leela."
195,Lars,"So your friend, Fry, seems nice. Are you and he dati--?"
196,Leela,Nope.
197,Lars,"Good, because I was maybe thinking of asking you out for dinner."
198,Leela,"Ohhhh. I'll start maybe thinking about saying ""Sure, when?"""
199,Lars,Let me maybe give it some thought.
200,Lars,Tomorrow at 8
201,Leela,Okay.
202,Fry,It's not fair. I've loved Leela since the day I came to the future. Did I show you the macaroni valentine I made for her?
203,Amy,Yes.
204,Fry,Look at it again.
205,Fry,"I know she thinks I'm immature, but someday I won't be. And deep down in my heart, I know we'll end up together. It's all there in the macaroni."
206,Leela,Lars asked me out!
207,Bender,"What are you doing, wonderful masters?"
208,Fleb,Sprunjing for information.
209,Nudar,"Oh! There's something here. I can sprunje it. Robot, tear it open!"
210,Bender,"Goody, goody, goody, goody!"
211,Zoidberg,What's that thing on your neck?
212,Nudar,"Checking out my sprunjer, huh?"
213,Zoidberg,I guess. What does it do?
214,Nudar,It's a special sense organ our species possesses. It engorges in the presence of...  Information.
215,Zoidberg,Lucky you. All I have is a gland that gives off foul odors when I'm bored.
216,Bender,"Hey, look, a safe!"
217,Farnsworth,That's my safe. I call keep-offsies.
218,Nudar,No callsies! Open it!
219,Schlump,"It's a gold mine. Tax forms, Social Security cards. Combination hair, blood and stool samples!"
220,Fry,I don't get it. How can you say Lars is more mature than me?
221,Leela,"Well, for one thing, his checkbook doesn't have the Hulk on it."
222,Nudar,Who are you?
223,Fry,Philip J. Fry.
224,Schlump,"Social Security Number 03280810? Stool type, P-negative?"
225,Fry,That's right.
226,Nudar,I've never detected so much information before. I think it may be a Level 87 code.
227,Fleb,"Level 87? Can it be? I thought it was only a legend, but the sprunjer never lies."
228,Nudar,It's in his pants!
229,Fry,What the hell are you talking about?
230,Nudar,"Faster, faster!"
231,Farnsworth,I'm sciencing as fast as I can.
232,Bender,"What do you say, folks? Hot or not?"
233,Nudar,I'm not seeing any information. Do more things!
234,Nudar,"You, boogerbot, read the code or I'll shoot this guy."
235,Bender,Who the hell is he?
236,Scruffy,"I'm Scruffy, the janitor."
237,Bender,"Hang on, Scruffy! Zero, zero, one, one, zero, zero, zero, one, zero, zero, one, zero, zero, one, one, one, one, zero, one, zero, zero, zero, zero, one, one, zero, one, one, zero, one, one, one, zero, zero, one, one."
238,"""God""",Huh?
239,Fleb,A time sphere.
240,Nudar,"Naked brothers, we have sprunjed upon the universal machine language time code. The key to time travel!"
241,Leela,What's the secret of time travel doing on Fry's ass?
242,Fry,It was bound to be somewhere.
243,Nudar,And we can steal them! We just go to the past and take stuff with our superior weapons!
244,Nibbler,"Stop, you fools!"
245,Amy,What's going on?
246,Farnsworth,What is happening?
247,Leela,"Nibbler, you... You can talk?"
