,Characters,Quotes,Scenes,Fry,Other,Leela,Bender,Farnsworth,Hermes,Zoidberg,Amy,Zapp
0,Fry,Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.,2,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fry,And that's how you play the game!,2,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Other,"You stink, loser!",2,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Other,"Hey, Fry. Pizza goin' out! C'mon!!",2,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Fry,"Michelle, baby! Where you going?",3,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Other,"It's not working out, Fry.  I put your stuff out on the sidewalk!",3,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Fry,"I hate my life, I hate my life, I hate my life.",3,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Other,Happy new year!,3,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Fry,"Hello? Pizza delivery for, uh ...  Here's to another lousy millennium.",4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Other,Ten!,4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Other,Neuf!,4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Other,Otto!,4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Other,Saba!,4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Other,Eksi!,4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Other,Wu!,4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Other,Char!,4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Other,Thathu!,4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Other,Nee!,4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Other,One!,5,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Fry,What the--?,5,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Fry,"My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!",5,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Other,Welcome to the world of tomorrow!,6,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Other,Why do you always have to say it that way?,6,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Other,"Haven't you ever heard of a little thing called showmanship?  Come, your destiny awaits!",6,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Other,Have a nice future.,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Fry,Cool! Just like in Star Trek!  Ow!,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Leela,"Good afternoon, sir.  Name?",7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Fry,"Uh, Fry.",7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Leela,"I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here.",7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Fry,Can I ask you a question?,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Leela,As long as it's not about my eye.,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Fry,Uh...,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Leela,Is it about my eye?,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Fry,Sort of.,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Leela,Just ask the question.,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Fry,What's with the eye?,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Leela,"I'm an alien, alright? Now let's drop the subject.",7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Fry,"Cool, an alien! Has your race taken over the Earth?",7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Leela,"No, I just work here.",7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Fry,Wait a minute! Is that blimp accurate?,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Leela,"Yep. It's December 31st, 2999.",7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Fry,My God! A million years!,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Leela,I'm sure this must be very upsetting for you.,7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Fry,"Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.",7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Leela,"Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator.",7,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Leela,Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...,8,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Leela,...great-great-great-great-great nephew.,8,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Fry,That's great! What's the little guy's name?,8,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Leela,Professor Hubert Farnsworth.,8,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Fry,Eurgh!,8,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Fry,"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser.  What's that?",9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Leela,Your permanent career assignment.,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Fry,Delivery boy? No! Not again! Please! Anything else!,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Leela,Take your hands off me! You've been assigned the job you're best at just like everyone else.,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Fry,What if I refuse?,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Leela,Then you'll be fired--,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Fry,Fine!,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Leela,Out of a cannon into the Sun!,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Fry,But I don't like being a delivery boy.,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
